"dateTime,""value""";;Time;Value;
9/01/2021;;16:22:54;79;confidence:3}
9/01/2021;;16:22:59;78;confidence:3}
9/01/2021;;16:23:04;75;confidence:3}
9/01/2021;;16:23:09;74;confidence:3}
9/01/2021;;16:23:14;74;confidence:2}
9/01/2021;;16:23:19;75;confidence:2}
9/01/2021;;16:23:24;74;confidence:1}
9/01/2021;;16:23:29;73;confidence:1}
9/01/2021;;16:23:34;78;confidence:1}
9/01/2021;;16:23:39;81;confidence:1}
9/01/2021;;16:23:49;79;confidence:1}
9/01/2021;;16:23:54;78;confidence:2}
9/01/2021;;16:23:59;78;confidence:1}
9/01/2021;;16:24:04;79;confidence:1}
9/01/2021;;16:24:14;79;confidence:2}
9/01/2021;;16:24:19;78;confidence:2}
9/01/2021;;16:24:24;76;confidence:1}
9/01/2021;;16:24:29;76;confidence:2}
9/01/2021;;16:24:39;75;confidence:2}
9/01/2021;;16:24:44;75;confidence:1}
9/01/2021;;16:24:49;76;confidence:1}
9/01/2021;;16:24:59;77;confidence:1}
9/01/2021;;16:25:09;78;confidence:1}
9/01/2021;;16:25:14;80;confidence:1}
9/01/2021;;16:25:24;79;confidence:1}
9/01/2021;;16:25:39;77;confidence:1}
9/01/2021;;16:25:44;74;confidence:1}
9/01/2021;;16:25:59;74;confidence:1}
9/01/2021;;16:26:09;75;confidence:1}
9/01/2021;;16:26:14;79;confidence:2}
9/01/2021;;16:26:19;79;confidence:1}
9/01/2021;;16:26:24;80;confidence:1}
9/01/2021;;16:26:39;81;confidence:1}
9/01/2021;;16:26:54;80;confidence:1}
9/01/2021;;16:26:59;81;confidence:1}
9/01/2021;;16:27:04;79;confidence:1}
9/01/2021;;16:27:09;76;confidence:1}
9/01/2021;;16:27:14;77;confidence:1}
9/01/2021;;16:27:19;76;confidence:1}
9/01/2021;;16:27:29;78;confidence:1}
9/01/2021;;16:27:34;80;confidence:1}
9/01/2021;;16:27:39;79;confidence:1}
9/01/2021;;16:27:49;81;confidence:1}
9/01/2021;;16:27:54;77;confidence:1}
9/01/2021;;16:27:59;76;confidence:1}
9/01/2021;;16:28:04;74;confidence:1}
9/01/2021;;16:28:14;73;confidence:1}
9/01/2021;;16:28:19;74;confidence:1}
9/01/2021;;16:28:34;76;confidence:1}
9/01/2021;;16:28:39;78;confidence:1}
9/01/2021;;16:28:44;74;confidence:1}
9/01/2021;;16:28:49;71;confidence:1}
9/01/2021;;16:28:54;73;confidence:1}
9/01/2021;;16:28:59;80;confidence:1}
9/01/2021;;16:29:04;79;confidence:1}
9/01/2021;;16:29:19;79;confidence:1}
9/01/2021;;16:29:24;80;confidence:1}
9/01/2021;;16:29:29;81;confidence:1}
9/01/2021;;16:29:34;85;confidence:1}
9/01/2021;;16:29:39;86;confidence:1}
9/01/2021;;16:29:44;84;confidence:1}
9/01/2021;;16:29:49;85;confidence:1}
9/01/2021;;16:29:54;86;confidence:1}
9/01/2021;;16:30:04;85;confidence:3}
9/01/2021;;16:30:09;81;confidence:3}
9/01/2021;;16:30:14;79;confidence:3}
9/01/2021;;16:30:19;79;confidence:1}
9/01/2021;;16:30:29;78;confidence:1}
9/01/2021;;16:30:44;78;confidence:1}
9/01/2021;;16:30:49;76;confidence:1}
9/01/2021;;16:30:59;75;confidence:1}
9/01/2021;;16:31:14;74;confidence:1}
9/01/2021;;16:31:19;73;confidence:1}
9/01/2021;;16:31:24;74;confidence:1}
9/01/2021;;16:31:29;76;confidence:1}
9/01/2021;;16:31:34;79;confidence:1}
9/01/2021;;16:31:39;79;confidence:2}
9/01/2021;;16:31:44;78;confidence:1}
9/01/2021;;16:31:49;77;confidence:1}
9/01/2021;;16:31:54;79;confidence:1}
9/01/2021;;16:32:04;80;confidence:1}
9/01/2021;;16:32:09;81;confidence:1}
9/01/2021;;16:32:14;79;confidence:1}
9/01/2021;;16:32:19;81;confidence:1}
9/01/2021;;16:32:24;79;confidence:1}
9/01/2021;;16:32:29;80;confidence:1}
9/01/2021;;16:32:34;79;confidence:1}
9/01/2021;;16:32:39;78;confidence:1}
9/01/2021;;16:32:49;79;confidence:1}
