dateTime;value;bpm;confidence;;hora gtm
08-18-2021;19:38:59;65;1};;
08-18-2021;19:39:04;67;1};;
08-18-2021;19:39:09;68;1};;
08-18-2021;19:39:14;69;1};;
08-18-2021;19:39:19;72;1};;
08-18-2021;19:39:24;67;1};;
08-18-2021;19:39:34;68;1};;
08-18-2021;19:39:39;69;1};;
08-18-2021;19:39:54;69;1};;
08-18-2021;19:39:59;67;1};;
08-18-2021;19:40:04;66;1};;
08-18-2021;19:40:09;65;1};;
08-18-2021;19:40:14;66;1};;
08-18-2021;19:40:19;69;1};;
08-18-2021;19:40:24;70;1};;
08-18-2021;19:40:29;68;1};;
08-18-2021;19:40:39;65;3};;
08-18-2021;19:40:44;61;1};;
08-18-2021;19:40:49;60;1};;
08-18-2021;19:40:54;61;1};;
08-18-2021;19:40:59;62;1};;
08-18-2021;19:41:04;63;1};;
08-18-2021;19:41:09;62;1};;
08-18-2021;19:41:14;63;1};;
08-18-2021;19:41:19;65;1};;
08-18-2021;19:41:24;69;1};;
08-18-2021;19:41:29;67;1};;
08-18-2021;19:41:34;68;2};;
08-18-2021;19:41:44;67;1};;
08-18-2021;19:41:49;66;1};;
08-18-2021;19:41:59;65;1};;
08-18-2021;19:42:04;63;1};;
08-18-2021;19:42:09;62;1};;
08-18-2021;19:42:14;63;1};;
08-18-2021;19:42:19;64;2};;
08-18-2021;19:42:24;66;2};;
08-18-2021;19:42:29;70;2};;
08-18-2021;19:42:34;68;1};;
08-18-2021;19:42:39;67;1};;
08-18-2021;19:42:44;68;1};;
08-18-2021;19:42:49;69;3};;
08-18-2021;19:42:54;72;1};;
08-18-2021;19:42:59;77;1};;
08-18-2021;19:43:04;78;1};;
08-18-2021;19:43:09;77;1};;
08-18-2021;19:43:14;75;1};;
08-18-2021;19:43:19;68;1};;
08-18-2021;19:43:24;65;1};;
08-18-2021;19:43:29;66;1};;
08-18-2021;19:43:34;67;1};;
08-18-2021;19:43:39;68;1};;
08-18-2021;19:43:54;69;1};;
08-18-2021;19:44:09;64;3};;
08-18-2021;19:44:14;63;3};;
08-18-2021;19:44:19;63;2};;
08-18-2021;19:44:29;64;2};;
08-18-2021;19:44:34;62;3};;
08-18-2021;19:44:39;60;3};;
08-18-2021;19:44:44;59;3};;
08-18-2021;19:44:54;61;3};;
08-18-2021;19:44:59;60;3};;
08-18-2021;19:45:04;61;1};;
08-18-2021;19:45:09;60;1};;
08-18-2021;19:45:19;63;1};;
08-18-2021;19:45:24;65;1};;
08-18-2021;19:45:29;68;1};;
08-18-2021;19:45:34;70;1};;
08-18-2021;19:45:39;73;1};;
08-18-2021;19:45:44;67;3};;
08-18-2021;19:45:49;65;1};;
08-18-2021;19:45:54;63;2};;
08-18-2021;19:45:59;64;2};;
08-18-2021;19:46:04;66;2};;
08-18-2021;19:46:09;67;1};;
08-18-2021;19:46:19;63;3};;
08-18-2021;19:46:24;63;1};;
08-18-2021;19:46:29;67;1};;
08-18-2021;19:46:34;66;1};;
08-18-2021;19:46:49;68;2};;
08-18-2021;19:46:54;70;1};;
08-18-2021;19:46:59;73;1};;
08-18-2021;19:47:04;75;1};;
08-18-2021;19:47:09;76;1};;
08-18-2021;19:47:24;76;1};;
08-18-2021;19:47:29;82;1};;
08-18-2021;19:47:34;83;1};;
08-18-2021;19:47:39;82;1};;
08-18-2021;19:47:49;80;1};;
08-18-2021;19:47:54;81;1};;
08-18-2021;19:47:59;82;1};;
08-18-2021;19:48:04;76;1};;
08-18-2021;19:48:09;75;1};;
08-18-2021;19:48:14;66;3};;
08-18-2021;19:48:19;62;2};;
08-18-2021;19:48:24;60;2};;
08-18-2021;19:48:29;61;2};;
08-18-2021;19:48:39;61;1};;
08-18-2021;19:48:44;63;1};;
08-18-2021;19:48:59;66;1};;
08-18-2021;19:49:04;71;1};;
08-18-2021;19:49:09;72;1};;
08-18-2021;19:49:14;71;1};;
08-18-2021;19:49:19;73;1};;
08-18-2021;19:49:24;77;1};;
08-18-2021;19:49:29;82;1};;
08-18-2021;19:49:34;83;1};;
08-18-2021;19:49:39;84;1};;
08-18-2021;19:49:44;82;1};;
08-18-2021;19:49:49;80;2};;
08-18-2021;19:49:54;76;2};;
08-18-2021;19:49:59;70;3};;
08-18-2021;19:50:04;71;1};;
08-18-2021;19:50:09;73;1};;
08-18-2021;19:50:14;74;1};;
08-18-2021;19:50:19;75;1};;
08-18-2021;19:50:24;76;3};;
08-18-2021;19:50:29;76;1};;
08-18-2021;19:50:34;75;1};;
08-18-2021;19:50:39;74;1};;
08-18-2021;19:50:44;75;1};;
08-18-2021;19:50:54;72;1};;
08-18-2021;19:50:59;71;1};;
08-18-2021;19:51:09;76;1};;
08-18-2021;19:51:19;75;1};;
08-18-2021;19:51:24;73;1};;
08-18-2021;19:51:29;75;2};;
08-18-2021;19:51:34;75;1};;
08-18-2021;19:51:49;75;1};;
08-18-2021;19:51:54;76;1};;
08-18-2021;19:51:59;77;1};;
08-18-2021;19:52:04;79;1};;
08-18-2021;19:52:09;78;1};;
08-18-2021;19:52:14;80;1};;
08-18-2021;19:52:24;79;1};;
08-18-2021;19:52:29;77;1};;
08-18-2021;19:52:39;78;1};;
08-18-2021;19:52:49;79;1};;
08-18-2021;19:52:54;81;1};;
08-18-2021;19:52:59;82;1};;
08-18-2021;19:53:04;84;1};;
08-18-2021;19:53:19;84;1};;
08-18-2021;19:53:29;87;1};;
08-18-2021;19:53:34;83;1};;
08-18-2021;19:53:39;84;1};;
08-18-2021;19:53:44;79;1};;
08-18-2021;19:53:54;78;1};;
08-18-2021;19:53:59;82;1};;
08-18-2021;19:54:04;80;1};;
08-18-2021;19:54:09;76;1};;
08-18-2021;19:54:14;75;1};;
08-18-2021;19:54:19;76;1};;
08-18-2021;19:54:24;78;1};;
08-18-2021;19:54:34;73;1};;
08-18-2021;19:54:39;67;1};;
08-18-2021;19:54:44;72;1};;
08-18-2021;19:54:49;80;1};;
08-18-2021;19:54:54;83;1};;
08-18-2021;19:54:59;84;1};;
08-18-2021;19:55:04;82;1};;
08-18-2021;19:55:09;84;1};;
08-18-2021;19:55:14;77;1};;
08-18-2021;19:55:19;69;3};;
08-18-2021;19:55:24;67;1};;
08-18-2021;19:55:29;66;1};;
08-18-2021;19:55:34;65;1};;
08-18-2021;19:55:44;66;1};;
08-18-2021;19:55:49;68;1};;
08-18-2021;19:55:59;67;1};;
08-18-2021;19:56:04;65;1};;
08-18-2021;19:56:09;64;1};;
08-18-2021;19:56:19;62;2};;
08-18-2021;19:56:24;62;1};;
08-18-2021;19:56:39;62;1};;
08-18-2021;19:56:44;63;3};;
08-18-2021;19:56:54;64;2};;
08-18-2021;19:56:59;64;1};;
08-18-2021;19:57:04;65;1};;
08-18-2021;19:57:09;66;1};;
08-18-2021;19:57:14;65;1};;
08-18-2021;19:57:19;63;1};;
08-18-2021;19:57:24;62;2};;
08-18-2021;19:57:29;62;1};;
08-18-2021;19:57:34;61;1};;
08-18-2021;19:57:39;61;2};;
08-18-2021;19:57:44;62;2};;
08-18-2021;19:57:49;61;3};;
08-18-2021;19:57:54;60;3};;
08-18-2021;19:57:59;61;3};;
08-18-2021;19:58:04;61;1};;
